EPSG,ESRI
2868,"PROJCS[""NAD83_HARN_Arizona_Central_ft"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-111.9166666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",700000],PARAMETER[""false_northing"",0],UNIT[""Foot"",0.3048]]"
2869,"PROJCS[""NAD83_HARN_Arizona_West_ft"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-113.75],PARAMETER[""scale_factor"",0.999933333],PARAMETER[""false_easting"",700000],PARAMETER[""false_northing"",0],UNIT[""Foot"",0.3048]]"
2870,"PROJCS[""NAD83_HARN_California_zone_1_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",41.66666666666666],PARAMETER[""standard_parallel_2"",40],PARAMETER[""latitude_of_origin"",39.33333333333334],PARAMETER[""central_meridian"",-122],PARAMETER[""false_easting"",6561666.667],PARAMETER[""false_northing"",1640416.667],UNIT[""Foot_US"",0.30480060960121924]]"
2871,"PROJCS[""NAD83_HARN_California_zone_2_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",39.83333333333334],PARAMETER[""standard_parallel_2"",38.33333333333334],PARAMETER[""latitude_of_origin"",37.66666666666666],PARAMETER[""central_meridian"",-122],PARAMETER[""false_easting"",6561666.667],PARAMETER[""false_northing"",1640416.667],UNIT[""Foot_US"",0.30480060960121924]]"
2872,"PROJCS[""NAD83_HARN_California_zone_3_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",38.43333333333333],PARAMETER[""standard_parallel_2"",37.06666666666667],PARAMETER[""latitude_of_origin"",36.5],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",6561666.667],PARAMETER[""false_northing"",1640416.667],UNIT[""Foot_US"",0.30480060960121924]]"
2873,"PROJCS[""NAD83_HARN_California_zone_4_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",37.25],PARAMETER[""standard_parallel_2"",36],PARAMETER[""latitude_of_origin"",35.33333333333334],PARAMETER[""central_meridian"",-119],PARAMETER[""false_easting"",6561666.667],PARAMETER[""false_northing"",1640416.667],UNIT[""Foot_US"",0.30480060960121924]]"
2874,"PROJCS[""NAD83_HARN_California_zone_5_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",35.46666666666667],PARAMETER[""standard_parallel_2"",34.03333333333333],PARAMETER[""latitude_of_origin"",33.5],PARAMETER[""central_meridian"",-118],PARAMETER[""false_easting"",6561666.667],PARAMETER[""false_northing"",1640416.667],UNIT[""Foot_US"",0.30480060960121924]]"
2875,"PROJCS[""NAD83_HARN_California_zone_6_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",33.88333333333333],PARAMETER[""standard_parallel_2"",32.78333333333333],PARAMETER[""latitude_of_origin"",32.16666666666666],PARAMETER[""central_meridian"",-116.25],PARAMETER[""false_easting"",6561666.667],PARAMETER[""false_northing"",1640416.667],UNIT[""Foot_US"",0.30480060960121924]]"
2876,"PROJCS[""NAD83_HARN_Colorado_North_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",40.78333333333333],PARAMETER[""standard_parallel_2"",39.71666666666667],PARAMETER[""latitude_of_origin"",39.33333333333334],PARAMETER[""central_meridian"",-105.5],PARAMETER[""false_easting"",3000000],PARAMETER[""false_northing"",1000000],UNIT[""Foot_US"",0.30480060960121924]]"
2877,"PROJCS[""NAD83_HARN_Colorado_Central_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",39.75],PARAMETER[""standard_parallel_2"",38.45],PARAMETER[""latitude_of_origin"",37.83333333333334],PARAMETER[""central_meridian"",-105.5],PARAMETER[""false_easting"",3000000],PARAMETER[""false_northing"",1000000],UNIT[""Foot_US"",0.30480060960121924]]"
2878,"PROJCS[""NAD83_HARN_Colorado_South_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",38.43333333333333],PARAMETER[""standard_parallel_2"",37.23333333333333],PARAMETER[""latitude_of_origin"",36.66666666666666],PARAMETER[""central_meridian"",-105.5],PARAMETER[""false_easting"",3000000],PARAMETER[""false_northing"",1000000],UNIT[""Foot_US"",0.30480060960121924]]"
2879,"PROJCS[""NAD83_HARN_Connecticut_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",41.86666666666667],PARAMETER[""standard_parallel_2"",41.2],PARAMETER[""latitude_of_origin"",40.83333333333334],PARAMETER[""central_meridian"",-72.75],PARAMETER[""false_easting"",1000000],PARAMETER[""false_northing"",500000],UNIT[""Foot_US"",0.30480060960121924]]"
2880,"PROJCS[""NAD83_HARN_Delaware_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",38],PARAMETER[""central_meridian"",-75.41666666666667],PARAMETER[""scale_factor"",0.999995],PARAMETER[""false_easting"",656166.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2881,"PROJCS[""NAD83_HARN_Florida_East_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",24.33333333333333],PARAMETER[""central_meridian"",-81],PARAMETER[""scale_factor"",0.999941177],PARAMETER[""false_easting"",656166.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2882,"PROJCS[""NAD83_HARN_Florida_West_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",24.33333333333333],PARAMETER[""central_meridian"",-82],PARAMETER[""scale_factor"",0.999941177],PARAMETER[""false_easting"",656166.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2883,"PROJCS[""NAD83_HARN_Florida_North_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",30.75],PARAMETER[""standard_parallel_2"",29.58333333333333],PARAMETER[""latitude_of_origin"",29],PARAMETER[""central_meridian"",-84.5],PARAMETER[""false_easting"",1968500],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2884,"PROJCS[""NAD83_HARN_Georgia_East_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",30],PARAMETER[""central_meridian"",-82.16666666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",656166.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2885,"PROJCS[""NAD83_HARN_Georgia_West_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",30],PARAMETER[""central_meridian"",-84.16666666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",2296583.333],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2886,"PROJCS[""NAD83_HARN_Idaho_East_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",41.66666666666666],PARAMETER[""central_meridian"",-112.1666666666667],PARAMETER[""scale_factor"",0.999947368],PARAMETER[""false_easting"",656166.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2887,"PROJCS[""NAD83_HARN_Idaho_Central_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",41.66666666666666],PARAMETER[""central_meridian"",-114],PARAMETER[""scale_factor"",0.999947368],PARAMETER[""false_easting"",1640416.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2888,"PROJCS[""NAD83_HARN_Idaho_West_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",41.66666666666666],PARAMETER[""central_meridian"",-115.75],PARAMETER[""scale_factor"",0.999933333],PARAMETER[""false_easting"",2624666.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2889,"PROJCS[""NAD83_HARN_Indiana_East_ftUS_deprecated"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",37.5],PARAMETER[""central_meridian"",-85.66666666666667],PARAMETER[""scale_factor"",0.999966667],PARAMETER[""false_easting"",328083.333],PARAMETER[""false_northing"",818125],UNIT[""Foot_US"",0.30480060960121924]]"
2890,"PROJCS[""NAD83_HARN_Indiana_West_ftUS_deprecated"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",37.5],PARAMETER[""central_meridian"",-87.08333333333333],PARAMETER[""scale_factor"",0.999966667],PARAMETER[""false_easting"",2952750],PARAMETER[""false_northing"",818125],UNIT[""Foot_US"",0.30480060960121924]]"
2891,"PROJCS[""NAD83_HARN_Kentucky_North_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",37.96666666666667],PARAMETER[""standard_parallel_2"",38.96666666666667],PARAMETER[""latitude_of_origin"",37.5],PARAMETER[""central_meridian"",-84.25],PARAMETER[""false_easting"",1640416.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2892,"PROJCS[""NAD83_HARN_Kentucky_South_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",37.93333333333333],PARAMETER[""standard_parallel_2"",36.73333333333333],PARAMETER[""latitude_of_origin"",36.33333333333334],PARAMETER[""central_meridian"",-85.75],PARAMETER[""false_easting"",1640416.667],PARAMETER[""false_northing"",1640416.667],UNIT[""Foot_US"",0.30480060960121924]]"
2893,"PROJCS[""NAD83_HARN_Maryland_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",39.45],PARAMETER[""standard_parallel_2"",38.3],PARAMETER[""latitude_of_origin"",37.66666666666666],PARAMETER[""central_meridian"",-77],PARAMETER[""false_easting"",1312333.333],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2894,"PROJCS[""NAD83_HARN_Massachusetts_Mainland_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",42.68333333333333],PARAMETER[""standard_parallel_2"",41.71666666666667],PARAMETER[""latitude_of_origin"",41],PARAMETER[""central_meridian"",-71.5],PARAMETER[""false_easting"",656166.667],PARAMETER[""false_northing"",2460625],UNIT[""Foot_US"",0.30480060960121924]]"
2895,"PROJCS[""NAD83_HARN_Massachusetts_Island_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",41.48333333333333],PARAMETER[""standard_parallel_2"",41.28333333333333],PARAMETER[""latitude_of_origin"",41],PARAMETER[""central_meridian"",-70.5],PARAMETER[""false_easting"",1640416.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2896,"PROJCS[""NAD83_HARN_Michigan_North_ft"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",47.08333333333334],PARAMETER[""standard_parallel_2"",45.48333333333333],PARAMETER[""latitude_of_origin"",44.78333333333333],PARAMETER[""central_meridian"",-87],PARAMETER[""false_easting"",26246719.16],PARAMETER[""false_northing"",0],UNIT[""Foot"",0.3048]]"
2897,"PROJCS[""NAD83_HARN_Michigan_Central_ft"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",45.7],PARAMETER[""standard_parallel_2"",44.18333333333333],PARAMETER[""latitude_of_origin"",43.31666666666667],PARAMETER[""central_meridian"",-84.36666666666666],PARAMETER[""false_easting"",19685039.37],PARAMETER[""false_northing"",0],UNIT[""Foot"",0.3048]]"
2898,"PROJCS[""NAD83_HARN_Michigan_South_ft"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",43.66666666666666],PARAMETER[""standard_parallel_2"",42.1],PARAMETER[""latitude_of_origin"",41.5],PARAMETER[""central_meridian"",-84.36666666666666],PARAMETER[""false_easting"",13123359.58],PARAMETER[""false_northing"",0],UNIT[""Foot"",0.3048]]"
2899,"PROJCS[""NAD83_HARN_Mississippi_East_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",29.5],PARAMETER[""central_meridian"",-88.83333333333333],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",984250.0000000002],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2900,"PROJCS[""NAD83_HARN_Mississippi_West_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",29.5],PARAMETER[""central_meridian"",-90.33333333333333],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",2296583.333],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2901,"PROJCS[""NAD83_HARN_Montana_ft"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",49],PARAMETER[""standard_parallel_2"",45],PARAMETER[""latitude_of_origin"",44.25],PARAMETER[""central_meridian"",-109.5],PARAMETER[""false_easting"",1968503.937],PARAMETER[""false_northing"",0],UNIT[""Foot"",0.3048]]"
2902,"PROJCS[""NAD83_HARN_New_Mexico_East_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-104.3333333333333],PARAMETER[""scale_factor"",0.999909091],PARAMETER[""false_easting"",541337.5],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2903,"PROJCS[""NAD83_HARN_New_Mexico_Central_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-106.25],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",1640416.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2904,"PROJCS[""NAD83_HARN_New_Mexico_West_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-107.8333333333333],PARAMETER[""scale_factor"",0.999916667],PARAMETER[""false_easting"",2723091.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2905,"PROJCS[""NAD83_HARN_New_York_East_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",38.83333333333334],PARAMETER[""central_meridian"",-74.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",492125],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2906,"PROJCS[""NAD83_HARN_New_York_Central_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",40],PARAMETER[""central_meridian"",-76.58333333333333],PARAMETER[""scale_factor"",0.9999375],PARAMETER[""false_easting"",820208.3330000002],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
2907,"PROJCS[""NAD83_HARN_New_York_West_ftUS"",GEOGCS[""GCS_NAD83(HARN)"",DATUM[""D_North_American_1983_HARN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",40],PARAMETER[""central_meridian"",-78.58333333333333],PARAMETER[""scale_factor"",0.9999375],PARAMETER[""false_easting"",1148291.667],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
